departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,cumsum_borne,nb_el/borne,borne/nb_el
Ain,2020,4084,38,653058,133,156,26.18,0.04
Ain,2021,7348,41,670356,17,173,42.47,0.02
Ain,2022,11062,43,680873,169,342,32.35,0.03
Ain,2023,16016,46,690672,144,486,32.95,0.03
Ain,2024,20576,48,697701,419,905,22.74,0.04
Aisne,2020,2813,29,543832,10,18,156.28,0.01
Aisne,2021,4884,26,546042,17,35,139.54,0.01
Aisne,2022,7010,18,558799,209,244,28.73,0.03
Aisne,2023,10281,15,566368,173,417,24.65,0.04
Aisne,2024,15987,81,587339,483,900,17.76,0.06
Allier,2020,1225,9,309367,23,171,7.16,0.14
Allier,2021,2246,8,328458,87,258,8.71,0.11
Allier,2022,3168,8,318095,97,355,8.92,0.11
Allier,2023,4456,9,320770,109,464,9.6,0.1
Allier,2024,6003,11,344076,212,676,8.88,0.11
Alpes-Maritimes,2020,9328,90,1114606,140,427,21.85,0.05
Alpes-Maritimes,2021,16400,89,1127159,281,708,23.16,0.04
Alpes-Maritimes,2022,24344,90,1145935,480,1188,20.49,0.05
Alpes-Maritimes,2023,35811,86,1162859,692,1880,19.05,0.05
Alpes-Maritimes,2024,45141,89,1177756,1005,2885,15.65,0.06
Alpes-de-Haute-Provence,2020,1002,6,186164,134,147,6.82,0.15
Alpes-de-Haute-Provence,2021,1605,7,184465,16,163,9.85,0.1
Alpes-de-Haute-Provence,2022,2243,8,184245,56,219,10.24,0.1
Alpes-de-Haute-Provence,2023,3251,6,192842,118,337,9.65,0.1
Alpes-de-Haute-Provence,2024,4007,6,188932,88,425,9.43,0.11
Ardennes,2020,1093,20,284810,22,30,36.43,0.03
Ardennes,2021,1912,17,287591,50,80,23.9,0.04
Ardennes,2022,2888,16,291037,130,210,13.75,0.07
Ardennes,2023,4218,13,295812,10,220,19.17,0.05
Ardennes,2024,5356,15,299746,115,335,15.99,0.06
Ardèche,2020,1641,7,337017,229,229,7.17,0.14
Ardèche,2021,2732,6,345061,34,263,10.39,0.1
Ardèche,2022,4109,8,352140,25,288,14.27,0.07
Ardèche,2023,5801,10,361678,35,323,17.96,0.06
Ardèche,2024,7408,11,364155,147,470,15.76,0.06
Ariège,2020,656,26,156327,2,2,328.0,0.0
Ariège,2021,1088,25,155969,8,10,108.8,0.01
Ariège,2022,1537,24,158028,98,108,14.23,0.07
Ariège,2023,2148,26,163798,35,143,15.02,0.07
Ariège,2024,2647,27,164327,87,230,11.51,0.09
Aube,2020,1237,6,286263,7,33,37.48,0.03
Aube,2021,2236,4,291887,29,62,36.06,0.03
Aube,2022,3333,6,291813,53,115,28.98,0.03
Aube,2023,5003,5,296438,71,186,26.9,0.04
Aube,2024,6397,5,299362,616,802,7.98,0.13
Aude,2021,3098,3,396222,69,117,26.48,0.04
Aude,2022,4607,4,403587,283,400,11.52,0.09
Aude,2023,6627,4,414082,253,653,10.15,0.1
Aude,2024,8269,5,415505,350,1003,8.24,0.12
Aveyron,2020,1205,15,284071,14,24,50.21,0.02
Aveyron,2021,1964,13,291764,42,66,29.76,0.03
Aveyron,2022,2826,15,290206,200,266,10.62,0.09
Aveyron,2023,3950,15,293308,101,367,10.76,0.09
Aveyron,2024,5150,13,302006,117,484,10.64,0.09
Bas-Rhin,2020,8383,216,1101989,70,110,76.21,0.01
Bas-Rhin,2021,14629,223,1122511,192,302,48.44,0.02
Bas-Rhin,2022,20880,225,1127823,276,578,36.12,0.03
Bas-Rhin,2023,29564,224,1147770,302,880,33.6,0.03
Bas-Rhin,2024,37558,224,1156965,1141,2021,18.58,0.05
Bouches-du-Rhône,2020,15700,220,2113861,48,75,209.33,0.0
Bouches-du-Rhône,2021,29395,208,2149217,766,841,34.95,0.03
Bouches-du-Rhône,2022,41666,211,2128319,285,1126,37.0,0.03
Bouches-du-Rhône,2023,57188,227,2165910,1178,2304,24.82,0.04
Bouches-du-Rhône,2024,72920,241,2203907,1499,3803,19.17,0.05
Calvados,2020,3735,20,632623,13,45,83.0,0.01
Calvados,2021,6705,21,655910,61,106,63.25,0.02
Calvados,2022,10238,21,664592,126,232,44.13,0.02
Calvados,2023,14929,21,673318,366,598,24.96,0.04
Calvados,2024,19683,25,693083,1086,1684,11.69,0.09
Cantal,2021,853,0,139633,24,24,35.54,0.03
Cantal,2022,1290,0,145524,13,37,34.86,0.03
Cantal,2023,1807,1,134858,28,65,27.8,0.04
Cantal,2024,2485,1,145221,163,228,10.9,0.09
Charente,2020,1743,3,338455,40,40,43.58,0.02
Charente,2021,2924,6,333380,58,98,29.84,0.03
Charente,2022,4324,5,339555,40,138,31.33,0.03
Charente,2023,5879,3,340524,95,233,25.23,0.04
Charente,2024,7462,2,355886,412,645,11.57,0.09
Charente-Maritime,2020,4244,0,648710,10,18,235.78,0.0
Charente-Maritime,2021,6021,6,588018,66,84,71.68,0.01
Charente-Maritime,2022,10430,10,668375,165,249,41.89,0.02
Charente-Maritime,2023,14399,10,673914,147,396,36.36,0.03
Charente-Maritime,2024,14754,10,577784,874,1270,11.62,0.09
