CODGEO;LIBGEO;EPCI;LIBEPCI;DATE_ARRETE;NB_VP_RECHARGEABLES_EL;NB_VP_RECHARGEABLES_GAZ;NB_VP;num_dep;departement;region;Annee
64001;AAST;200067296;CC du Nord Est Béarn;31/12/2020;2;0;222;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;2020
64001;AAST;200067296;CC du Nord Est Béarn;31/12/2021;2;0;220;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;2021
64001;AAST;200067296;CC du Nord Est Béarn;31/12/2022;2;0;227;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;2022
64001;AAST;200067296;CC du Nord Est Béarn;31/12/2023;6;0;235;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;2023
64001;AAST;200067296;CC du Nord Est Béarn;31/12/2024;7;0;237;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;2024
55001;ABAINVILLE;200066108;CC des Portes de Meuse;31/12/2020;0;0;379;55;Meuse;Grand Est;2020
55001;ABAINVILLE;200066108;CC des Portes de Meuse;31/12/2021;0;0;387;55;Meuse;Grand Est;2021
55001;ABAINVILLE;200066108;CC des Portes de Meuse;31/12/2022;1;0;388;55;Meuse;Grand Est;2022
55001;ABAINVILLE;200066108;CC des Portes de Meuse;31/12/2023;0;0;390;55;Meuse;Grand Est;2023
55001;ABAINVILLE;200066108;CC des Portes de Meuse;31/12/2024;1;0;402;55;Meuse;Grand Est;2024
59001;ABANCOURT;200068500;CA de Cambrai;31/12/2020;2;0;506;59;Nord;Hauts-de-France;2020
59001;ABANCOURT;200068500;CA de Cambrai;31/12/2021;4;0;496;59;Nord;Hauts-de-France;2021
60001;ABANCOURT;246000848;CC de la Picardie Verte;31/12/2022;3;0;651;60;Oise;Hauts-de-France;2022
60001;ABANCOURT;246000848;CC de la Picardie Verte;31/12/2023;5;0;655;60;Oise;Hauts-de-France;2023
59001;ABANCOURT;200068500;CA de Cambrai;31/12/2024;21;0;507;59;Nord;Hauts-de-France;2024
54001;ABAUCOURT;200070589;CC de Seille et Grand Couronné;31/12/2020;2;0;336;54;Meurthe-et-Moselle;Grand Est;2020
54001;ABAUCOURT;200070589;CC de Seille et Grand Couronné;31/12/2021;8;0;362;54;Meurthe-et-Moselle;Grand Est;2021
54001;ABAUCOURT;200070589;CC de Seille et Grand Couronné;31/12/2022;8;0;341;54;Meurthe-et-Moselle;Grand Est;2022
54001;ABAUCOURT;200070589;CC de Seille et Grand Couronné;31/12/2023;12;0;355;54;Meurthe-et-Moselle;Grand Est;2023
54001;ABAUCOURT;200070589;CC de Seille et Grand Couronné;31/12/2024;15;0;355;54;Meurthe-et-Moselle;Grand Est;2024
55002;ABAUCOURT-HAUTECOURT;245501242;CC du Pays d'Ã‰tain;31/12/2020;0;0;148;55;Meuse;Grand Est;2020
55002;ABAUCOURT-HAUTECOURT;245501242;CC du Pays d'Ã‰tain;31/12/2021;0;0;147;55;Meuse;Grand Est;2021
55002;ABAUCOURT-HAUTECOURT;245501242;CC du Pays d'Ã‰tain;31/12/2022;0;0;151;55;Meuse;Grand Est;2022
55002;ABAUCOURT-HAUTECOURT;245501242;CC du Pays d'Ã‰tain;31/12/2023;0;0;153;55;Meuse;Grand Est;2023
55002;ABAUCOURT-HAUTECOURT;245501242;CC du Pays d'Ã‰tain;31/12/2024;1;0;155;55;Meuse;Grand Est;2024
25001;ABBANS-DESSOUS;200068070;CC Loue-Lison;31/12/2020;1;0;323;25;Doubs;Bourgogne-Franche-Comté;2020
25001;ABBANS-DESSOUS;200068070;CC Loue-Lison;31/12/2021;0;0;304;25;Doubs;Bourgogne-Franche-Comté;2021
25001;ABBANS-DESSOUS;200068070;CC Loue-Lison;31/12/2022;0;0;307;25;Doubs;Bourgogne-Franche-Comté;2022
25001;ABBANS-DESSOUS;200068070;CC Loue-Lison;31/12/2023;3;0;314;25;Doubs;Bourgogne-Franche-Comté;2023
25001;ABBANS-DESSOUS;200068070;CC Loue-Lison;31/12/2024;5;0;321;25;Doubs;Bourgogne-Franche-Comté;2024
25002;ABBANS-DESSUS;200068070;CC Loue-Lison;31/12/2020;3;0;376;25;Doubs;Bourgogne-Franche-Comté;2020
25002;ABBANS-DESSUS;200068070;CC Loue-Lison;31/12/2021;3;0;383;25;Doubs;Bourgogne-Franche-Comté;2021
25002;ABBANS-DESSUS;200068070;CC Loue-Lison;31/12/2022;5;0;396;25;Doubs;Bourgogne-Franche-Comté;2022
25002;ABBANS-DESSUS;200068070;CC Loue-Lison;31/12/2023;4;0;384;25;Doubs;Bourgogne-Franche-Comté;2023
25002;ABBANS-DESSUS;200068070;CC Loue-Lison;31/12/2024;6;0;386;25;Doubs;Bourgogne-Franche-Comté;2024
44001;ABBARETZ;244400537;CC de Nozay;31/12/2020;2;0;2097;44;Loire-Atlantique;Pays de la Loire;2020
44001;ABBARETZ;244400537;CC de Nozay;31/12/2021;10;0;2127;44;Loire-Atlantique;Pays de la Loire;2021
44001;ABBARETZ;244400537;CC de Nozay;31/12/2022;14;0;2184;44;Loire-Atlantique;Pays de la Loire;2022
44001;ABBARETZ;244400537;CC de Nozay;31/12/2023;26;0;2219;44;Loire-Atlantique;Pays de la Loire;2023
44001;ABBARETZ;244400537;CC de Nozay;31/12/2024;36;0;2260;44;Loire-Atlantique;Pays de la Loire;2024
60002;ABBECOURT;200067973;CC Thelloise;31/12/2020;4;0;934;60;Oise;Hauts-de-France;2020
60002;ABBECOURT;200067973;CC Thelloise;31/12/2021;5;0;984;60;Oise;Hauts-de-France;2021
60002;ABBECOURT;200067973;CC Thelloise;31/12/2022;8;0;996;60;Oise;Hauts-de-France;2022
60002;ABBECOURT;200067973;CC Thelloise;31/12/2023;15;0;1031;60;Oise;Hauts-de-France;2023
60002;ABBECOURT;200067973;CC Thelloise;31/12/2024;24;0;1057;60;Oise;Hauts-de-France;2024
25003;ABBENANS;200068294;CC des Deux Vallées Vertes;31/12/2020;0;0;480;25;Doubs;Bourgogne-Franche-Comté;2020
25003;ABBENANS;200068294;CC des Deux Vallées Vertes;31/12/2021;1;0;492;25;Doubs;Bourgogne-Franche-Comté;2021
25003;ABBENANS;200068294;CC des Deux Vallées Vertes;31/12/2022;1;0;497;25;Doubs;Bourgogne-Franche-Comté;2022
25003;ABBENANS;200068294;CC des Deux Vallées Vertes;31/12/2023;3;0;500;25;Doubs;Bourgogne-Franche-Comté;2023
25003;ABBENANS;200068294;CC des Deux Vallées Vertes;31/12/2024;3;0;502;25;Doubs;Bourgogne-Franche-Comté;2024
80001;ABBEVILLE;200070993;CA de la Baie de Somme;31/12/2020;102;0;20932;80;Somme;Hauts-de-France;2020
80001;ABBEVILLE;200070993;CA de la Baie de Somme;31/12/2021;185;0;21265;80;Somme;Hauts-de-France;2021
80001;ABBEVILLE;200070993;CA de la Baie de Somme;31/12/2022;258;0;21570;80;Somme;Hauts-de-France;2022
80001;ABBEVILLE;200070993;CA de la Baie de Somme;31/12/2023;351;1;21784;80;Somme;Hauts-de-France;2023
80001;ABBEVILLE;200070993;CA de la Baie de Somme;31/12/2024;406;1;21983;80;Somme;Hauts-de-France;2024
60003;ABBEVILLE-SAINT-LUCIEN;200068005;CC de l'Oise Picarde;31/12/2020;2;0;564;60;Oise;Hauts-de-France;2020
60003;ABBEVILLE-SAINT-LUCIEN;200068005;CC de l'Oise Picarde;31/12/2021;4;0;592;60;Oise;Hauts-de-France;2021
60003;ABBEVILLE-SAINT-LUCIEN;200068005;CC de l'Oise Picarde;31/12/2022;6;0;599;60;Oise;Hauts-de-France;2022
60003;ABBEVILLE-SAINT-LUCIEN;200068005;CC de l'Oise Picarde;31/12/2023;10;0;593;60;Oise;Hauts-de-France;2023
60003;ABBEVILLE-SAINT-LUCIEN;200068005;CC de l'Oise Picarde;31/12/2024;15;0;590;60;Oise;Hauts-de-France;2024
2001;ABBÃ‰COURT;200071785;CA Chauny-Tergnier-La Fère;31/12/2020;2;0;590;20;;;2020
2001;ABBÃ‰COURT;200071785;CA Chauny-Tergnier-La Fère;31/12/2021;6;0;613;2;Aisne;Hauts-de-France;2021
2001;ABBÃ‰COURT;200071785;CA Chauny-Tergnier-La Fère;31/12/2022;6;0;609;20;;;2022
2001;ABBÃ‰COURT;200071785;CA Chauny-Tergnier-La Fère;31/12/2023;7;0;613;2;Aisne;Hauts-de-France;2023
2001;ABBÃ‰COURT;200071785;CA Chauny-Tergnier-La Fère;31/12/2024;9;0;635;20;;;2024
91001;ABBÃ‰VILLE-LA-RIVIÃˆRE;200017846;CA Ã‰tampois Sud-Essonne;31/12/2020;1;0;355;91;Essonne;Ile-de-France;2020
91001;ABBÃ‰VILLE-LA-RIVIÃˆRE;200017846;CA Ã‰tampois Sud-Essonne;31/12/2021;4;0;353;91;Essonne;Ile-de-France;2021
91001;ABBÃ‰VILLE-LA-RIVIÃˆRE;200017846;CA Ã‰tampois Sud-Essonne;31/12/2022;5;0;344;91;Essonne;Ile-de-France;2022
