departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
Ain,2020,4084,38,653058
Ain,2021,7348,41,670356
Ain,2022,11062,43,680873
Ain,2023,16016,46,690672
Ain,2024,20576,48,697701
Aisne,2020,2813,29,543832
Aisne,2021,4884,26,546042
Aisne,2022,7010,18,558799
Aisne,2023,10281,15,566368
Aisne,2024,15987,81,587339
Allier,2020,1225,9,309367
Allier,2021,2246,8,328458
Allier,2022,3168,8,318095
Allier,2023,4456,9,320770
Allier,2024,6003,11,344076
Alpes-Maritimes,2020,9328,90,1114606
Alpes-Maritimes,2021,16400,89,1127159
Alpes-Maritimes,2022,24344,90,1145935
Alpes-Maritimes,2023,35811,86,1162859
Alpes-Maritimes,2024,45141,89,1177756
Alpes-de-Haute-Provence,2020,1002,6,186164
Alpes-de-Haute-Provence,2021,1605,7,184465
Alpes-de-Haute-Provence,2022,2243,8,184245
Alpes-de-Haute-Provence,2023,3251,6,192842
Alpes-de-Haute-Provence,2024,4007,6,188932
Ardennes,2020,1093,20,284810
Ardennes,2021,1912,17,287591
Ardennes,2022,2888,16,291037
Ardennes,2023,4218,13,295812
Ardennes,2024,5356,15,299746
Ardèche,2020,1641,7,337017
Ardèche,2021,2732,6,345061
Ardèche,2022,4109,8,352140
Ardèche,2023,5801,10,361678
Ardèche,2024,7408,11,364155
Ariège,2020,656,26,156327
Ariège,2021,1088,25,155969
Ariège,2022,1537,24,158028
Ariège,2023,2148,26,163798
Ariège,2024,2647,27,164327
Aube,2020,1237,6,286263
Aube,2021,2236,4,291887
Aube,2022,3333,6,291813
Aube,2023,5003,5,296438
Aube,2024,6397,5,299362
Aude,2020,1662,3,386234
Aude,2021,3098,3,396222
Aude,2022,4607,4,403587
Aude,2023,6627,4,414082
Aude,2024,8269,5,415505
Aveyron,2020,1205,15,284071
Aveyron,2021,1964,13,291764
Aveyron,2022,2826,15,290206
Aveyron,2023,3950,15,293308
Aveyron,2024,5150,13,302006
Bas-Rhin,2020,8383,216,1101989
Bas-Rhin,2021,14629,223,1122511
Bas-Rhin,2022,20880,225,1127823
Bas-Rhin,2023,29564,224,1147770
Bas-Rhin,2024,37558,224,1156965
Bouches-du-Rhône,2020,15700,220,2113861
Bouches-du-Rhône,2021,29395,208,2149217
Bouches-du-Rhône,2022,41666,211,2128319
Bouches-du-Rhône,2023,57188,227,2165910
Bouches-du-Rhône,2024,72920,241,2203907
Calvados,2020,3735,20,632623
Calvados,2021,6705,21,655910
Calvados,2022,10238,21,664592
Calvados,2023,14929,21,673318
Calvados,2024,19683,25,693083
Cantal,2020,501,0,141592
Cantal,2021,853,0,139633
Cantal,2022,1290,0,145524
Cantal,2023,1807,1,134858
Cantal,2024,2485,1,145221
Charente,2020,1743,3,338455
Charente,2021,2924,6,333380
Charente,2022,4324,5,339555
Charente,2023,5879,3,340524
Charente,2024,7462,2,355886
Charente-Maritime,2020,4244,0,648710
Charente-Maritime,2021,6021,6,588018
Charente-Maritime,2022,10430,10,668375
Charente-Maritime,2023,14399,10,673914
Charente-Maritime,2024,14754,10,577784
Cher,2020,1228,38,304224
Cher,2021,2055,35,306461
Cher,2022,2953,29,309249
Cher,2023,4195,29,317444
Cher,2024,5401,24,322361
Corrèze,2020,1048,8,248802
Corrèze,2021,1928,11,254036
Corrèze,2022,2845,11,257464
Corrèze,2023,3915,12,255892
Corrèze,2024,5008,11,260873
Corse-du-Sud,2020,964,1,192498
Corse-du-Sud,2021,1895,1,197971
Corse-du-Sud,2022,2939,1,202937
Corse-du-Sud,2023,4471,1,207097
Corse-du-Sud,2024,5444,1,208163
Creuse,2020,367,0,129328
Creuse,2021,586,0,124578
Creuse,2022,855,0,126168
Creuse,2023,1190,0,128612
Creuse,2024,1522,2,130410
Côte-d'Or,2020,2781,13,502990
Côte-d'Or,2021,4910,13,509657
Côte-d'Or,2022,7292,14,519622
Côte-d'Or,2023,10057,16,514140
Côte-d'Or,2024,12906,17,521992
Côtes-d'Armor,2020,2869,15,638895
Côtes-d'Armor,2021,4888,16,648356
Côtes-d'Armor,2022,7285,18,658051
Côtes-d'Armor,2023,10381,22,668264
Côtes-d'Armor,2024,13266,32,677233
Deux-Sèvres,2020,1877,19,368176
Deux-Sèvres,2021,3020,15,365830
Deux-Sèvres,2022,4365,16,366920
Deux-Sèvres,2023,6183,16,373727
Deux-Sèvres,2024,7993,19,384639
Dordogne,2020,1908,9,435477
Dordogne,2021,3528,11,449273
Dordogne,2022,5291,11,459873
Dordogne,2023,7414,11,466288
Dordogne,2024,8988,10,461063
Doubs,2020,3431,21,566751
Doubs,2021,5579,21,575216
Doubs,2022,8015,23,583522
Doubs,2023,11542,28,596062
Doubs,2024,14555,31,601912
Drôme,2020,3498,29,542676
Drôme,2021,5093,37,490045
Drôme,2022,7616,39,500707
Drôme,2023,10908,42,507049
Drôme,2024,16068,54,580516
Essonne,2020,7475,36,1063687
Essonne,2021,13429,39,1122387
Essonne,2022,18298,44,1096294
Essonne,2023,25675,45,1102505
Essonne,2024,33285,50,1149926
Eure,2020,2962,11,584819
Eure,2021,5350,15,611740
Eure,2022,8486,18,639831
Eure,2023,11960,15,651033
Eure,2024,15498,16,672625
Eure-et-Loir,2020,2319,2,439083
Eure-et-Loir,2021,3895,2,444500
Eure-et-Loir,2022,5416,3,436119
Eure-et-Loir,2023,7890,3,457314
Eure-et-Loir,2024,10016,4,464314
Finistère,2020,4677,10,949220
Finistère,2021,8005,16,956964
Finistère,2022,11972,18,964707
Finistère,2023,17417,21,982891
Finistère,2024,22662,24,997882
Gard,2020,4273,9,770805
Gard,2021,7794,10,767937
Gard,2022,11649,11,781568
Gard,2023,16944,14,786797
Gard,2024,21216,15,790199
Gers,2020,984,8,195262
Gers,2021,1858,9,208196
Gers,2022,2463,7,198925
Gers,2023,3495,8,201728
Gers,2024,4826,7,217273
Gironde,2020,9735,66,1493730
Gironde,2021,18261,68,1569995
Gironde,2022,25358,59,1528013
Gironde,2023,35634,57,1545644
Gironde,2024,48231,66,1640294
