region,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
Auvergne-Rhône-Alpes,2020,50481,590,7713083
Auvergne-Rhône-Alpes,2021,88324,646,7836115
Auvergne-Rhône-Alpes,2022,128394,690,7952765
Auvergne-Rhône-Alpes,2023,184099,731,8072830
Auvergne-Rhône-Alpes,2024,235368,739,8239132
Bourgogne-Franche-Comté,2020,12916,125,2790548
Bourgogne-Franche-Comté,2021,22335,122,2828124
Bourgogne-Franche-Comté,2022,32611,132,2856955
Bourgogne-Franche-Comté,2023,46311,135,2890550
Bourgogne-Franche-Comté,2024,59399,138,2945536
Bretagne,2020,17131,97,3342849
Bretagne,2021,29312,131,3396381
Bretagne,2022,43760,147,3417994
Bretagne,2023,62186,169,3473733
Bretagne,2024,81429,195,3541919
Centre-Val de Loire,2020,13430,87,2527007
Centre-Val de Loire,2021,22440,85,2583159
Centre-Val de Loire,2022,31730,83,2569999
Centre-Val de Loire,2023,45822,81,2628871
Centre-Val de Loire,2024,57427,81,2634684
Corse,2020,2444,2,405197
Corse,2021,5454,2,416886
Corse,2022,8941,2,425055
Corse,2023,15560,3,439311
Corse,2024,17404,3,443600
Grand Est,2020,30362,433,5597139
Grand Est,2021,54090,449,5634156
Grand Est,2022,79945,468,5679371
Grand Est,2023,115977,482,5792742
Grand Est,2024,147168,508,5825885
Hauts-de-France,2020,30194,338,6057395
Hauts-de-France,2021,56892,341,6151612
Hauts-de-France,2022,84363,332,6234279
Hauts-de-France,2023,123175,348,6310427
Hauts-de-France,2024,154230,423,6348720
Normandie,2020,17994,141,3260057
Normandie,2021,31971,154,3319449
Normandie,2022,49571,159,3372870
Normandie,2023,73720,172,3446255
Normandie,2024,91325,173,3493299
Nouvelle-Aquitaine,2020,32586,202,5933578
Nouvelle-Aquitaine,2021,58206,218,5993794
Nouvelle-Aquitaine,2022,85146,234,6091613
Nouvelle-Aquitaine,2023,118508,236,6128628
Nouvelle-Aquitaine,2024,148539,261,6180239
Occitanie,2020,33365,265,5858401
Occitanie,2021,59653,274,6002416
Occitanie,2022,87419,280,6008751
Occitanie,2023,126262,295,6110234
Occitanie,2024,161538,307,6217877
Pays de la Loire,2020,19739,419,3495027
Pays de la Loire,2021,34291,454,3642408
Pays de la Loire,2022,48836,484,3564827
Pays de la Loire,2023,70494,548,3645578
Pays de la Loire,2024,89985,566,3639800
Provence-Alpes-Côte d'Azur,2020,37212,349,5310656
Provence-Alpes-Côte d'Azur,2021,67899,348,5399900
Provence-Alpes-Côte d'Azur,2022,98129,358,5390543
Provence-Alpes-Côte d'Azur,2023,140283,380,5539045
Provence-Alpes-Côte d'Azur,2024,176454,411,5551620
Île-de-France,2020,95045,891,9389902
Île-de-France,2021,156542,1136,9726574
Île-de-France,2022,218220,966,9663093
Île-de-France,2023,318490,1117,9861818
Île-de-France,2024,447653,1572,10395828
