nom_departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,nb_el/borne,borne/nb_el,nom_region
Ain,2020,4084,38,653058,133,30.71,0.03,Auvergne-Rhône-Alpes
Ain,2021,7348,41,670356,17,432.24,0.0,Auvergne-Rhône-Alpes
Ain,2022,11062,43,680873,169,65.46,0.02,Auvergne-Rhône-Alpes
Ain,2023,16016,46,690672,144,111.22,0.01,Auvergne-Rhône-Alpes
Ain,2024,20576,48,697701,419,49.11,0.02,Auvergne-Rhône-Alpes
Aisne,2020,2813,29,543832,10,281.3,0.0,Hauts-de-France
Aisne,2021,4884,26,546042,17,287.29,0.0,Hauts-de-France
Aisne,2022,7010,18,558799,209,33.54,0.03,Hauts-de-France
Aisne,2023,10281,15,566368,173,59.43,0.02,Hauts-de-France
Aisne,2024,15987,81,587339,483,33.1,0.03,Hauts-de-France
Allier,2020,1225,9,309367,23,53.26,0.02,Auvergne-Rhône-Alpes
Allier,2021,2246,8,328458,87,25.82,0.04,Auvergne-Rhône-Alpes
Allier,2022,3168,8,318095,97,32.66,0.03,Auvergne-Rhône-Alpes
Allier,2023,4456,9,320770,109,40.88,0.02,Auvergne-Rhône-Alpes
Allier,2024,6003,11,344076,212,28.32,0.04,Auvergne-Rhône-Alpes
Alpes-Maritimes,2020,9328,90,1114606,140,66.63,0.02,Provence-Alpes-Côte d'Azur
Alpes-Maritimes,2021,16400,89,1127159,281,58.36,0.02,Provence-Alpes-Côte d'Azur
Alpes-Maritimes,2022,24344,90,1145935,480,50.72,0.02,Provence-Alpes-Côte d'Azur
Alpes-Maritimes,2023,35811,86,1162859,692,51.75,0.02,Provence-Alpes-Côte d'Azur
Alpes-Maritimes,2024,45141,89,1177756,1005,44.92,0.02,Provence-Alpes-Côte d'Azur
Alpes-de-Haute-Provence,2020,1002,6,186164,134,7.48,0.13,Provence-Alpes-Côte d'Azur
Alpes-de-Haute-Provence,2021,1605,7,184465,16,100.31,0.01,Provence-Alpes-Côte d'Azur
Alpes-de-Haute-Provence,2022,2243,8,184245,56,40.05,0.02,Provence-Alpes-Côte d'Azur
Alpes-de-Haute-Provence,2023,3251,6,192842,118,27.55,0.04,Provence-Alpes-Côte d'Azur
Alpes-de-Haute-Provence,2024,4007,6,188932,88,45.53,0.02,Provence-Alpes-Côte d'Azur
Ardennes,2020,1093,20,284810,22,49.68,0.02,Grand Est
Ardennes,2021,1912,17,287591,50,38.24,0.03,Grand Est
Ardennes,2022,2888,16,291037,130,22.22,0.05,Grand Est
Ardennes,2023,4218,13,295812,10,421.8,0.0,Grand Est
Ardennes,2024,5356,15,299746,115,46.57,0.02,Grand Est
Ardèche,2020,1641,7,337017,229,7.17,0.14,Auvergne-Rhône-Alpes
Ardèche,2021,2732,6,345061,34,80.35,0.01,Auvergne-Rhône-Alpes
Ardèche,2022,4109,8,352140,25,164.36,0.01,Auvergne-Rhône-Alpes
Ardèche,2023,5801,10,361678,35,165.74,0.01,Auvergne-Rhône-Alpes
Ardèche,2024,7408,11,364155,147,50.39,0.02,Auvergne-Rhône-Alpes
Ariège,2020,656,26,156327,2,328.0,0.0,Occitanie
Ariège,2021,1088,25,155969,8,136.0,0.01,Occitanie
Ariège,2022,1537,24,158028,98,15.68,0.06,Occitanie
Ariège,2023,2148,26,163798,35,61.37,0.02,Occitanie
Ariège,2024,2647,27,164327,87,30.43,0.03,Occitanie
