nom_region,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,nb_el/borne,borne/nb_el
Auvergne-Rhône-Alpes,2020,50481,590,7713083,2049,24.64,0.04
Auvergne-Rhône-Alpes,2021,88324,646,7836115,1056,83.64,0.01
Auvergne-Rhône-Alpes,2022,128394,690,7952765,2389,53.74,0.02
Auvergne-Rhône-Alpes,2023,184099,731,8072830,2325,79.18,0.01
Auvergne-Rhône-Alpes,2024,235368,739,8239132,5634,41.78,0.02
Bourgogne-Franche-Comté,2020,12916,125,2790548,157,82.27,0.01
Bourgogne-Franche-Comté,2021,22335,122,2828124,241,92.68,0.01
Bourgogne-Franche-Comté,2022,32611,132,2856955,810,40.26,0.02
Bourgogne-Franche-Comté,2023,46311,135,2890550,982,47.16,0.02
Bourgogne-Franche-Comté,2024,59399,138,2945536,2865,20.73,0.05
Bretagne,2020,17131,97,3342849,86,199.2,0.01
Bretagne,2021,29312,131,3396381,183,160.17,0.01
Bretagne,2022,43760,147,3417994,511,85.64,0.01
Bretagne,2023,62186,169,3473733,1762,35.29,0.03
Bretagne,2024,81429,195,3541919,2557,31.85,0.03
Centre-Val de Loire,2020,13430,87,2527007,110,122.09,0.01
Centre-Val de Loire,2021,22440,85,2583159,297,75.56,0.01
Centre-Val de Loire,2022,31730,83,2569999,813,39.03,0.03
Centre-Val de Loire,2023,45822,81,2628871,1037,44.19,0.02
Centre-Val de Loire,2024,57427,81,2634684,1867,30.76,0.03
Corse,2020,2444,2,405197,17,143.76,0.01
Corse,2021,5454,2,416886,90,60.6,0.02
Corse,2022,8941,2,425055,111,80.55,0.01
Corse,2023,15560,3,439311,89,174.83,0.01
Corse,2024,17404,3,443600,256,67.98,0.01
Grand Est,2020,30362,433,5597139,349,87.0,0.01
Grand Est,2021,54090,449,5634156,515,105.03,0.01
Grand Est,2022,79945,468,5679371,1571,50.89,0.02
Grand Est,2023,115977,482,5792742,2523,45.97,0.02
Grand Est,2024,147168,508,5825885,5843,25.19,0.04
Hauts-de-France,2020,30194,338,6057395,535,56.44,0.02
Hauts-de-France,2021,56892,341,6151612,926,61.44,0.02
Hauts-de-France,2022,84363,332,6234279,1747,48.29,0.02
Hauts-de-France,2023,123175,348,6310427,2309,53.35,0.02
Hauts-de-France,2024,154230,423,6348720,4969,31.04,0.03
Normandie,2020,17994,141,3260057,62,290.23,0.0
Normandie,2021,31971,154,3319449,364,87.83,0.01
Normandie,2022,49571,159,3372870,677,73.22,0.01
Normandie,2023,73720,172,3446255,1413,52.17,0.02
Normandie,2024,91325,173,3493299,2833,32.24,0.03
Nouvelle-Aquitaine,2020,32586,202,5933578,592,55.04,0.02
Nouvelle-Aquitaine,2021,58206,218,5993794,866,67.21,0.01
Nouvelle-Aquitaine,2022,85146,234,6091613,1379,61.74,0.02
Nouvelle-Aquitaine,2023,118508,236,6128628,1971,60.13,0.02
Nouvelle-Aquitaine,2024,148539,261,6180239,7070,21.01,0.05
Occitanie,2020,33365,265,5858401,278,120.02,0.01
Occitanie,2021,59653,274,6002416,1021,58.43,0.02
Occitanie,2022,87419,280,6008751,3323,26.31,0.04
Occitanie,2023,126262,295,6110234,2668,47.32,0.02
Occitanie,2024,161538,307,6217877,4936,32.73,0.03
Pays de la Loire,2020,19739,419,3495027,79,249.86,0.0
Pays de la Loire,2021,34291,454,3642408,1254,27.35,0.04
Pays de la Loire,2022,48836,484,3564827,688,70.98,0.01
Pays de la Loire,2023,70494,548,3645578,1410,50.0,0.02
Pays de la Loire,2024,89985,566,3639800,3093,29.09,0.03
Provence-Alpes-Côte d'Azur,2020,37212,349,5310656,918,40.54,0.02
Provence-Alpes-Côte d'Azur,2021,67899,348,5399900,1369,49.6,0.02
Provence-Alpes-Côte d'Azur,2022,98129,358,5390543,1375,71.37,0.01
Provence-Alpes-Côte d'Azur,2023,140283,380,5539045,2782,50.43,0.02
Provence-Alpes-Côte d'Azur,2024,176454,411,5551620,4147,42.55,0.02
Île-de-France,2020,95045,891,9389902,941,101.0,0.01
Île-de-France,2021,156542,1136,9726574,4124,37.96,0.03
Île-de-France,2022,218220,966,9663093,4434,49.22,0.02
Île-de-France,2023,318490,1117,9861818,6027,52.84,0.02
Île-de-France,2024,447653,1572,10395828,7377,60.68,0.02
