nom_departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,borne/nb_el,nom_region,nb_borne_cumule,nb_el/borne
Ain,2020,4084,38,653058,133,0.03,Auvergne-Rhône-Alpes,133,30.706766917293233
Ain,2021,7348,41,670356,17,0.0,Auvergne-Rhône-Alpes,150,48.986666666666665
Ain,2022,11062,43,680873,169,0.02,Auvergne-Rhône-Alpes,319,34.677115987460816
Ain,2023,16016,46,690672,144,0.01,Auvergne-Rhône-Alpes,463,34.59179265658747
Ain,2024,20576,48,697701,419,0.02,Auvergne-Rhône-Alpes,882,23.328798185941043
Aisne,2020,2813,29,543832,10,0.0,Hauts-de-France,10,281.3
Aisne,2021,4884,26,546042,17,0.0,Hauts-de-France,27,180.88888888888889
Aisne,2022,7010,18,558799,209,0.03,Hauts-de-France,236,29.703389830508474
Aisne,2023,10281,15,566368,173,0.02,Hauts-de-France,409,25.13691931540342
Aisne,2024,15987,81,587339,483,0.03,Hauts-de-France,892,17.922645739910315
Allier,2020,1225,9,309367,23,0.02,Auvergne-Rhône-Alpes,23,53.26086956521739
Allier,2021,2246,8,328458,87,0.04,Auvergne-Rhône-Alpes,110,20.418181818181818
Allier,2022,3168,8,318095,97,0.03,Auvergne-Rhône-Alpes,207,15.304347826086957
Allier,2023,4456,9,320770,109,0.02,Auvergne-Rhône-Alpes,316,14.10126582278481
Allier,2024,6003,11,344076,212,0.04,Auvergne-Rhône-Alpes,528,11.369318181818182
Alpes-Maritimes,2020,9328,90,1114606,140,0.02,Provence-Alpes-Côte d'Azur,140,66.62857142857143
Alpes-Maritimes,2021,16400,89,1127159,281,0.02,Provence-Alpes-Côte d'Azur,421,38.95486935866983
Alpes-Maritimes,2022,24344,90,1145935,480,0.02,Provence-Alpes-Côte d'Azur,901,27.0188679245283
Alpes-Maritimes,2023,35811,86,1162859,692,0.02,Provence-Alpes-Côte d'Azur,1593,22.480225988700564
Alpes-Maritimes,2024,45141,89,1177756,1005,0.02,Provence-Alpes-Côte d'Azur,2598,17.375288683602772
Alpes-de-Haute-Provence,2020,1002,6,186164,134,0.13,Provence-Alpes-Côte d'Azur,134,7.477611940298507
Alpes-de-Haute-Provence,2021,1605,7,184465,16,0.01,Provence-Alpes-Côte d'Azur,150,10.7
Alpes-de-Haute-Provence,2022,2243,8,184245,56,0.02,Provence-Alpes-Côte d'Azur,206,10.888349514563107
Alpes-de-Haute-Provence,2023,3251,6,192842,118,0.04,Provence-Alpes-Côte d'Azur,324,10.033950617283951
Alpes-de-Haute-Provence,2024,4007,6,188932,88,0.02,Provence-Alpes-Côte d'Azur,412,9.725728155339805
Ardennes,2020,1093,20,284810,22,0.02,Grand Est,22,49.68181818181818
Ardennes,2021,1912,17,287591,50,0.03,Grand Est,72,26.555555555555557
Ardennes,2022,2888,16,291037,130,0.05,Grand Est,202,14.297029702970297
Ardennes,2023,4218,13,295812,10,0.0,Grand Est,212,19.89622641509434
Ardennes,2024,5356,15,299746,115,0.02,Grand Est,327,16.37920489296636
Ardèche,2020,1641,7,337017,229,0.14,Auvergne-Rhône-Alpes,229,7.165938864628821
Ardèche,2021,2732,6,345061,34,0.01,Auvergne-Rhône-Alpes,263,10.387832699619771
Ardèche,2022,4109,8,352140,25,0.01,Auvergne-Rhône-Alpes,288,14.26736111111111
Ardèche,2023,5801,10,361678,35,0.01,Auvergne-Rhône-Alpes,323,17.959752321981423
Ardèche,2024,7408,11,364155,147,0.02,Auvergne-Rhône-Alpes,470,15.761702127659575
Ariège,2020,656,26,156327,2,0.0,Occitanie,2,328.0
Ariège,2021,1088,25,155969,8,0.01,Occitanie,10,108.8
Ariège,2022,1537,24,158028,98,0.06,Occitanie,108,14.231481481481481
Ariège,2023,2148,26,163798,35,0.02,Occitanie,143,15.020979020979022
Ariège,2024,2647,27,164327,87,0.03,Occitanie,230,11.508695652173913
Aube,2020,1237,6,286263,7,0.01,Grand Est,7,176.71428571428572
Aube,2021,2236,4,291887,29,0.01,Grand Est,36,62.111111111111114
Aube,2022,3333,6,291813,53,0.02,Grand Est,89,37.449438202247194
Aube,2023,5003,5,296438,71,0.01,Grand Est,160,31.26875
Aube,2024,6397,5,299362,616,0.1,Grand Est,776,8.243556701030927
Aude,2021,3098,3,396222,69,0.02,Occitanie,69,44.89855072463768
Aude,2022,4607,4,403587,283,0.06,Occitanie,352,13.088068181818182
Aude,2023,6627,4,414082,253,0.04,Occitanie,605,10.953719008264462
Aude,2024,8269,5,415505,350,0.04,Occitanie,955,8.658638743455498
Aveyron,2020,1205,15,284071,14,0.01,Occitanie,14,86.07142857142857
Aveyron,2021,1964,13,291764,42,0.02,Occitanie,56,35.07142857142857
Aveyron,2022,2826,15,290206,200,0.07,Occitanie,256,11.0390625
Aveyron,2023,3950,15,293308,101,0.03,Occitanie,357,11.064425770308123
Aveyron,2024,5150,13,302006,117,0.02,Occitanie,474,10.864978902953586
Bas-Rhin,2020,8383,216,1101989,70,0.01,Grand Est,70,119.75714285714285
Bas-Rhin,2021,14629,223,1122511,192,0.01,Grand Est,262,55.83587786259542
Bas-Rhin,2022,20880,225,1127823,276,0.01,Grand Est,538,38.81040892193309
Bas-Rhin,2023,29564,224,1147770,302,0.01,Grand Est,840,35.195238095238096
Bas-Rhin,2024,37558,224,1156965,1141,0.03,Grand Est,1981,18.959111559818275
