nom_departement;nom_region;nb_borne
Ain;Auvergne-Rhône-Alpes;446
Aisne;Hauts-de-France;209
Allier;Auvergne-Rhône-Alpes;546
Alpes-Maritimes;Provence-Alpes-Côte d'Azur;1202
Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;378
Ardennes;Grand Est;217
Ardèche;Auvergne-Rhône-Alpes;572
Ariège;Occitanie;29
Aube;Grand Est;817
Aude;Occitanie;1061
Aveyron;Occitanie;511
Bas-Rhin;Grand Est;2078
Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;3843
Calvados;Normandie;1854
Cantal;Auvergne-Rhône-Alpes;245
Charente;Nouvelle-Aquitaine;640
Charente-Maritime;Nouvelle-Aquitaine;1248
Cher;Centre-Val de Loire;561
Corrèze;Nouvelle-Aquitaine;589
Corse-du-Sud;Corse;217
Creuse;Nouvelle-Aquitaine;206
Côte-d'Or;Bourgogne-Franche-Comté;1534
Côtes-d'Armor;Bretagne;1108
Deux-Sèvres;Nouvelle-Aquitaine;690
Dordogne;Nouvelle-Aquitaine;768
Doubs;Bourgogne-Franche-Comté;955
Drôme;Auvergne-Rhône-Alpes;1759
Essonne;Île-de-France;2272
Eure;Normandie;1031
Eure-et-Loir;Centre-Val de Loire;751
Finistère;Bretagne;1372
Gard;Occitanie;1448
Gers;Occitanie;290
Gironde;Nouvelle-Aquitaine;4351
Haut-Rhin;Grand Est;1209
Haute-Corse;Corse;166
Haute-Garonne;Occitanie;4026
Haute-Loire;Auvergne-Rhône-Alpes;336
Haute-Marne;Grand Est;406
Haute-Savoie;Auvergne-Rhône-Alpes;2245
Haute-Saône;Bourgogne-Franche-Comté;265
Haute-Vienne;Nouvelle-Aquitaine;663
Hautes-Alpes;Provence-Alpes-Côte d'Azur;542
Hautes-Pyrénées;Occitanie;483
Hauts-de-Seine;Île-de-France;3460
Hérault;Occitanie;2247
Ille-et-Vilaine;Bretagne;1381
Indre;Centre-Val de Loire;224
Indre-et-Loire;Centre-Val de Loire;1260
Isère;Auvergne-Rhône-Alpes;2630
Jura;Bourgogne-Franche-Comté;292
Landes;Nouvelle-Aquitaine;1164
Loir-et-Cher;Centre-Val de Loire;1218
Loire;Auvergne-Rhône-Alpes;1600
Loire-Atlantique;Pays de la Loire;2732
Loiret;Centre-Val de Loire;1007
Lot;Occitanie;311
Lot-et-Garonne;Nouvelle-Aquitaine;697
Lozère;Occitanie;145
Maine-et-Loire;Pays de la Loire;1786
Manche;Normandie;1163
Marne;Grand Est;1240
Mayenne;Pays de la Loire;490
Meurthe-et-Moselle;Grand Est;1576
Meuse;Grand Est;256
Morbihan;Bretagne;1853
Moselle;Grand Est;2702
Nièvre;Bourgogne-Franche-Comté;234
Nord;Hauts-de-France;4891
Oise;Hauts-de-France;1707
Orne;Normandie;595
Paris;Île-de-France;6858
Pas-de-Calais;Hauts-de-France;2315
Puy-de-Dôme;Auvergne-Rhône-Alpes;1552
Pyrénées-Atlantiques;Nouvelle-Aquitaine;1330
Pyrénées-Orientales;Occitanie;923
Rhône;Auvergne-Rhône-Alpes;2500
Sarthe;Pays de la Loire;716
Savoie;Auvergne-Rhône-Alpes;1523
Saône-et-Loire;Bourgogne-Franche-Comté;951
Seine-Maritime;Normandie;1966
Seine-Saint-Denis;Île-de-France;2041
Seine-et-Marne;Île-de-France;3718
Somme;Hauts-de-France;1079
Tarn;Occitanie;1300
Tarn-et-Garonne;Occitanie;569
Territoire de Belfort;Bourgogne-Franche-Comté;278
Val-d'Oise;Île-de-France;1730
Val-de-Marne;Île-de-France;2202
Var;Provence-Alpes-Côte d'Azur;2662
Vaucluse;Provence-Alpes-Côte d'Azur;1429
Vendée;Pays de la Loire;1150
Vienne;Nouvelle-Aquitaine;1288
Vosges;Grand Est;873
Yonne;Bourgogne-Franche-Comté;872
Yvelines;Île-de-France;2874
